Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13579364,The Freedom of Self-Forgetfulness,Timothy J. Keller,"Keller, Timothy J.",,"=""1906173419""","=""9781906173418""",0,4.51,10Publishing,Paperback,46,2012,2012,,2020/01/13,to-read,to-read (#139),to-read,,,,0,0
8130077,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",5,4.27,HarperCollins e-books,Kindle Edition,222,2009,1942,2020/01/13,2020/01/13,,,read,,,,1,0
20342617,Just Mercy,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",0,4.63,One World,Paperback,336,2014,2014,,2020/01/10,to-read,to-read (#138),to-read,,,,0,0
44441972,Cole and Sav: Our Surprising Love Story,Cole LaBrant,"LaBrant, Cole",Savannah LaBrant,"=""0785222936""","=""9780785222934""",5,4.15,Thomas Nelson,Paperback,240,2019,2018,2020/01/09,2020/01/07,,,read,,,,1,0
23492483,"Brooklyn (Eilis Lacey, #1)",Colm Tóibín,"Tóibín, Colm",,"=""1501106473""","=""9781501106477""",0,3.73,Scribner,Paperback,288,2015,2009,,2020/01/03,to-read,to-read (#137),to-read,,,,0,0
36384252,The Gospel Comes with a House Key,Rosaria Champagne Butterfield,"Butterfield, Rosaria Champagne",,"=""143355786X""","=""9781433557866""",5,4.31,Crossway,Hardcover,240,2018,2018,2019/12/31,2019/09/01,,,read,,,,1,0
23156040,"Those Who Leave and Those Who Stay (Neapolitan Novels, #3)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.35,Europa Editions,Paperback,418,2014,2013,,2016/01/08,to-read,to-read (#136),to-read,,,,0,0
27037,Confessions,Augustine of Hippo,"Hippo, Augustine of","Henry Chadwick, Albert Cook Outler, Temple Scott","=""0192833723""","=""9780192833723""",0,3.98,Oxford University Press,Paperback,341,1998,378,,2017/12/17,to-read,to-read (#135),to-read,,,,0,0
33793324,"A Better Story: God, Sex and Human Flourishing",Glynn Harrison,"Harrison, Glynn",,"=""1783594462""","=""9781783594467""",0,4.32,IVP,Paperback,216,2017,2017,,2019/09/01,to-read,to-read (#133),to-read,,,,0,0
36688823,Storyteller: 100 Poem Letters,Morgan Harper Nichols,"Nichols, Morgan Harper",,"=""""","=""""",5,4.20,,Kindle Edition,109,2017,2017,2019/12/25,2019/12/25,,,read,,,,1,0
39832183,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"Shaffer, Mary Ann",Annie Barrows,"=""1984801813""","=""9781984801814""",0,4.19,Dial Press Trade Paperback,Paperback,291,2018,2008,,2019/12/25,to-read,to-read (#132),to-read,,,,0,0
11422,Redeeming Love,Francine Rivers,"Rivers, Francine",,"=""""","=""""",4,4.51,Multnomah,Paperback,479,2007,1991,2019/12/25,2019/12/22,,,read,,,,1,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",3,4.17,Viking Canada,Hardcover,480,2008,2005,2019/12/01,2019/12/01,,,read,,,,1,0
