Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42771921,"God, Greed, and the (Prosperity) Gospel: How Truth Overwhelms a Life Built on Lies",Costi W. Hinn,"Hinn, Costi W.",,"=""0310355273""","=""9780310355274""",4,4.54,Zondervan,Paperback,224,2019,2019,2021/08/21,2021/08/21,,,read,,,,1,0
19000597,Confessions (Akitada Stories),I.J. Parker,"Parker, I.J.",,"=""""","=""""",0,4.07,Ingrid J. Parker Inc.,Kindle Edition,46,2012,2012,2021/08/21,2021/05/26,,,read,,,,1,0
35594551,The Case of the Deadly Doppelganger (Dr Ribero's Agency of the Supernatural #2),Lucy Banks,"Banks, Lucy",,"=""1944995471""","=""9781944995478""",0,3.97,Amberjack Publishing,Paperback,328,2018,2018,,2021/08/15,to-read,to-read (#160),to-read,,,,0,0
31748402,The Case of the Green-Dressed Ghost (Dr Ribero's Agency of the Supernatural #1),Lucy Banks,"Banks, Lucy",,"=""1944995048""","=""9781944995041""",3,3.82,Amberjack Publishing,Paperback,284,2017,2017,2021/08/15,2021/08/15,,,read,,,,1,0
57094295,Termination Shock,Neal Stephenson,"Stephenson, Neal",,"=""0063028050""","=""9780063028050""",0,3.84,William Morrow,Hardcover,708,2021,2021,,2021/08/12,to-read,to-read (#159),to-read,,,,0,0
55481226,"Rabbits (Rabbits, #1)",Terry Miles,"Miles, Terry",,"=""1984819658""","=""9781984819659""",3,3.64,Del Rey,Hardcover,422,2021,2021,2021/08/08,2021/08/08,,,read,,,,1,0
64430,"Bill, The Galactic Hero (Bill, The Galactic Hero, #1)",Harry Harrison,"Harrison, Harry",,"=""0743487079""","=""9780743487078""",0,3.60,UNKNO,Paperback,185,2004,1965,,2021/08/03,to-read,to-read (#158),to-read,,,,0,0
929193,The Complete Brigadier Gerard,Arthur Conan Doyle,"Doyle, Arthur Conan",Owen Dudley Edwards,"=""0862415349""","=""9780862415341""",5,4.20,Canongate U.S.,Paperback,387,1995,1995,2021/08/03,2021/08/03,,,read,,,,1,0
55843852,Providence Lost: The Rise and Fall of Cromwell's Protectorate,Paul Lay,"Lay, Paul",,"=""1781852561""","=""9781781852569""",3,3.60,Apollo,Hardcover,352,2020,2020,2021/07/17,2021/07/16,,,read,,,,1,0
49497661,...and Other Disasters,Malka Ann Older,"Older, Malka Ann",,"=""0996103783""","=""9780996103787""",4,4.29,Mason Jar Press,Paperback,201,2019,2019,2021/06/20,2021/06/20,,,read,,,,1,0
