Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25489134,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,"=""1101885939""","=""9781101885932""",0,4.10,Del Rey,Hardcover,319,2017,2017,,2021/08/15,to-read,to-read (#476),to-read,,,,0,0
54370319,The Very Nice Box,Laura Blackett,"Blackett, Laura",Eve Gleichman,"=""0358540119""","=""9780358540113""",0,3.76,Mariner Books,Hardcover,368,2021,2021,,2021/08/14,to-read,to-read (#475),to-read,,,,0,0
20949737,Butterflies in November,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""080212318X""","=""9780802123183""",0,3.37,"Grove Press, Black Cat",Paperback,296,2014,2004,,2021/08/14,to-read,to-read (#474),to-read,,,,0,0
48637765,Miss Iceland,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""0802149235""","=""9780802149237""",0,3.86,Black Cat/Grove Press (New York),Paperback,256,2020,2018,,2021/08/14,to-read,to-read (#473),to-read,,,,0,0
52027273,Providence,Max Barry,"Barry, Max",,"=""0593085175""","=""9780593085172""",0,3.86,G.P. Putnam's Sons,Hardcover,306,2020,2020,,2021/08/08,to-read,to-read (#472),to-read,,,,0,0
16158596,Lexicon,Max Barry,"Barry, Max",,"=""1594205388""","=""9781594205385""",0,3.91,Penguin Press,Hardcover,390,2013,2013,,2021/08/08,to-read,to-read (#471),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,,2021/08/08,to-read,to-read (#470),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2021/08/08,to-read,to-read (#469),to-read,,,,0,0
56048572,A Town Called Solace,Mary Lawson,"Lawson, Mary",,"=""0735281289""","=""9780735281288""",0,4.02,Knopf Canada,ebook,272,2021,2021,,2021/08/08,to-read,to-read (#468),to-read,,,,0,0
48677123,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""0525657606""","=""9780525657606""",4,4.20,Alfred A. Knopf,Hardcover,310,2020,2020,2021/08/08,2020/07/25,"fiction, public-library","fiction (#431), public-library (#450)",read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2021/08/07,to-read,to-read (#467),to-read,,,,0,0
28691496,All Things Cease to Appear,Elizabeth Brundage,"Brundage, Elizabeth",,"=""""","=""""",3,3.69,Knopf,Kindle Edition,416,2016,2016,2021/07/31,2021/07/11,"fiction, kindle","fiction (#430), kindle (#26)",read,,,,1,0
31888668,The Private Life of Elder Things,Adrian Tchaikovsky,"Tchaikovsky, Adrian","Adam Gauntlett, Keris McDonald","=""""","=""""",0,3.88,Alchemy Press,Kindle Edition,195,2016,2016,,2021/07/21,to-read,to-read (#466),to-read,,,,0,0
54303485,One Day All This Will Be Yours,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1781088748""","=""9781781088746""",0,4.03,Solaris,Hardcover,144,2021,2021,,2021/07/21,to-read,to-read (#465),to-read,,,,0,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.30,PanMacmillan,Hardcover,608,2015,2015,,2021/07/21,to-read,to-read (#464),to-read,,,,0,0
